                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9746,                 3.2862,                 4.1083,                0.00433,                      1,                0.08013,                0.01294,                 2.7631,                 3.7715,                 3.9489,             0.00054518,             0.00054518,             0.00054518
                      2,                 2.5345,                 2.9256,                 3.4293,                0.09767,                0.17262,                0.07341,                0.03052,                  1.236,                 4.7273,                 2.6487,              0.0010464,              0.0010464,              0.0010464
                      3,                 1.9426,                 2.4364,                 2.7269,                0.34508,                0.85714,                0.49978,                0.39409,                0.97731,                 2.6757,                 2.1879,              0.0014925,              0.0014925,              0.0014925
                      4,                 1.5836,                 2.0052,                 2.3011,                0.48268,                0.97776,                0.58234,                0.41902,                 1.1397,                 3.9712,                 2.2634,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.3786,                  1.705,                 2.0472,                0.49828,                0.99788,                0.53682,                0.38185,                 1.0281,                 1.8666,                 1.9721,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.2016,                  1.531,                 1.8406,                0.49922,                0.97743,                0.54387,                0.41352,                0.97008,                  1.666,                 1.8544,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.0688,                 1.4067,                 1.7042,                0.49979,                      1,                0.55255,                0.48556,                0.70888,                 1.3817,                 1.5059,              0.0011719,              0.0011719,              0.0011719
                      8,                0.93325,                 1.2849,                 1.5732,                 0.5124,                0.97883,                0.57975,                0.51576,                0.54303,                 1.2456,                 1.2072,              0.0010894,              0.0010894,              0.0010894
                      9,                0.86196,                 1.2017,                 1.5003,                0.50023,                      1,                0.56179,                0.48866,                0.61769,                 1.1556,                 1.2799,              0.0010069,              0.0010069,              0.0010069
                     10,                0.79767,                 1.1453,                 1.4352,                0.50249,                 0.9989,                0.59126,                0.52961,                 0.5262,                 1.0912,                 1.1745,             0.00092435,             0.00092435,             0.00092435
                     11,                0.47436,                 1.1065,                 1.3462,                 0.5014,                0.99405,                0.59294,                0.54273,                0.51922,                 1.0567,                 1.1972,             0.00084184,             0.00084184,             0.00084184
                     12,                0.37518,                0.87962,                 1.2357,                0.72861,                0.88205,                0.91354,                0.82529,                0.48142,                 0.9376,                 1.1275,             0.00075932,             0.00075932,             0.00075932
                     13,                0.33049,                  0.595,                 1.1854,                0.96266,                0.96188,                0.98783,                0.90934,                0.44674,                0.51722,                 1.0291,              0.0006768,              0.0006768,              0.0006768
                     14,                0.31749,                0.48576,                 1.1812,                0.78489,                0.93678,                0.99359,                0.89279,                0.51124,                 1.0261,                 1.0623,             0.00059429,             0.00059429,             0.00059429
                     15,                0.29274,                0.39512,                 1.1541,                0.95543,                0.97582,                0.99407,                 0.9251,                0.43368,                0.47392,                 0.9704,             0.00051177,             0.00051177,             0.00051177
                     16,                0.28109,                0.35115,                  1.143,                0.98263,                0.98534,                0.99481,                0.93054,                 0.4223,                0.40902,                0.91844,             0.00042925,             0.00042925,             0.00042925
                     17,                0.27463,                 0.3358,                 1.1422,                0.97788,                0.98929,                0.99459,                0.92283,                0.43607,                0.45806,                0.97238,             0.00034674,             0.00034674,             0.00034674
                     18,                0.26778,                0.31764,                 1.1304,                0.99204,                0.99014,                0.99495,                0.93776,                0.39325,                0.38962,                0.88666,             0.00026422,             0.00026422,             0.00026422
                     19,                 0.2479,                0.30386,                 1.1154,                0.99002,                0.99708,                0.99498,                0.92818,                0.41445,                0.34566,                0.89144,              0.0001817,              0.0001817,              0.0001817
                     20,                0.25044,                0.29392,                 1.1269,                0.99115,                0.99524,                0.99492,                0.93824,                0.40397,                0.35868,                0.89557,             9.9187e-05,             9.9187e-05,             9.9187e-05
