                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0298,                 3.8176,                 3.9454,                0.00404,                      1,                0.03052,                0.00956,                 2.3975,                 3.8281,                 4.0232,             0.00046852,             0.00046852,             0.00046852
                      2,                 1.1504,                 2.7567,                 2.5764,                0.29008,                0.14974,                0.17922,                0.05776,                 2.1906,                  3.363,                 3.8053,             0.00085132,             0.00085132,             0.00085132
                      3,                0.77535,                 2.0057,                 1.8466,                0.33531,                0.69944,                0.50546,                0.33623,                 1.2747,                 2.3803,                 2.3523,              0.0011398,              0.0011398,              0.0011398
                      4,                0.62009,                 1.5196,                 1.5906,                0.49047,                0.86111,                0.63025,                0.45695,                0.97861,                 1.8246,                 1.9205,              0.0010046,              0.0010046,              0.0010046
                      5,                0.55207,                 1.2727,                 1.4645,                0.62474,                0.89936,                0.68457,                0.57426,                0.67525,                 1.6554,                 1.5298,             0.00086312,             0.00086312,             0.00086312
                      6,                0.48636,                0.96652,                 1.3756,                0.74018,                0.82618,                0.86444,                0.69815,                0.79908,                 1.2191,                 1.6748,             0.00072164,             0.00072164,             0.00072164
                      7,                0.46281,                  0.858,                 1.3378,                0.94252,                0.95728,                0.98791,                0.84261,                0.63205,                 0.7245,                 1.4408,             0.00058017,             0.00058017,             0.00058017
                      8,                0.42625,                0.70435,                 1.3028,                0.94864,                0.94924,                0.98802,                0.85173,                0.60842,                0.73304,                 1.4136,              0.0004387,              0.0004387,              0.0004387
                      9,                0.40528,                0.61324,                 1.2763,                 0.9681,                0.97558,                0.99171,                0.85578,                 0.6111,                0.63237,                  1.429,             0.00029723,             0.00029723,             0.00029723
                     10,                0.40737,                0.57274,                 1.2656,                0.97821,                 0.9663,                0.99282,                0.86034,                  0.602,                0.61272,                 1.3878,             0.00015576,             0.00015576,             0.00015576
