                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6494,                 2.8829,                 2.5193,                0.59177,                0.53648,                0.54264,                0.48554,                0.55097,                 1.6972,                0.87622,             0.00023779,             0.00023779,             0.00023779
                      2,                0.34518,                 1.2832,                 1.0461,                0.67137,                0.82379,                0.83444,                0.82447,                0.20062,                0.72825,                0.30776,             0.00045224,             0.00045224,             0.00045224
                      3,                0.22905,                0.92267,                0.95586,                0.81766,                0.86086,                0.91531,                0.91323,                0.17768,                0.48644,                0.27468,             0.00064313,             0.00064313,             0.00064313
                      4,                0.18669,                0.77509,                0.93417,                0.87204,                0.89727,                0.96009,                0.95842,                0.13535,                0.40514,                0.20198,             0.00060797,             0.00060797,             0.00060797
                      5,                0.15526,                0.68638,                0.92395,                0.89132,                 0.9025,                0.96602,                0.96446,                0.13686,                0.37406,                0.20071,             0.00057263,             0.00057263,             0.00057263
                      6,                0.13826,                0.61336,                0.91847,                0.92007,                0.92352,                0.97559,                0.97457,                0.15873,                0.33346,                0.22247,             0.00053728,             0.00053728,             0.00053728
                      7,                0.12387,                0.56325,                0.91276,                0.95447,                0.94739,                0.98557,                0.98534,                0.13131,                0.29243,                 0.1917,             0.00050194,             0.00050194,             0.00050194
                      8,                0.11571,                0.52409,                0.91077,                0.96304,                0.96334,                0.98909,                0.98901,                0.13254,                0.26741,                0.18605,              0.0004666,              0.0004666,              0.0004666
                      9,                0.10949,                 0.4973,                0.90654,                0.97066,                 0.9708,                0.99186,                0.99175,                0.10947,                0.24107,                0.16058,             0.00043126,             0.00043126,             0.00043126
                     10,                0.10251,                0.46498,                0.90647,                0.97449,                0.97534,                0.99237,                0.99119,                0.12451,                0.24687,                0.16733,             0.00039591,             0.00039591,             0.00039591
                     11,                0.05959,                0.26743,                0.91148,                0.97955,                0.98183,                0.99324,                0.99324,                 0.1092,                0.22221,                 0.1575,             0.00036057,             0.00036057,             0.00036057
                     12,                0.05038,                0.21485,                0.90486,                0.98064,                0.98109,                0.99372,                0.99372,                0.10188,                0.24549,                0.14726,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.0444,                0.18873,                0.90425,                0.97907,                 0.9814,                0.99361,                0.99361,                0.11003,                0.21364,                0.15223,             0.00028988,             0.00028988,             0.00028988
                     14,                0.04085,                0.16226,                0.90613,                0.98506,                0.98626,                0.99407,                0.99407,                0.12578,                0.23539,                0.16727,             0.00025454,             0.00025454,             0.00025454
                     15,                0.03898,                0.14997,                0.90264,                0.98739,                0.98886,                0.99455,                0.99455,                0.12285,                0.25314,                0.16785,              0.0002192,              0.0002192,              0.0002192
                     16,                0.03621,                0.12613,                0.90073,                0.99009,                0.98937,                0.99458,                0.99458,                0.10496,                0.19094,                0.14335,             0.00018385,             0.00018385,             0.00018385
                     17,                0.03286,                0.11553,                0.90078,                0.99302,                0.99228,                 0.9948,                 0.9948,                0.09623,                0.21364,                0.12641,             0.00014851,             0.00014851,             0.00014851
                     18,                0.03066,                0.10315,                0.90198,                0.99391,                0.99252,                0.99482,                0.99482,                0.06858,                0.19875,                0.09595,             0.00011317,             0.00011317,             0.00011317
                     19,                0.02721,                0.08923,                0.90118,                0.99512,                0.99486,                0.99487,                0.99487,                0.09893,                 0.1719,                0.13137,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.02452,                 0.0758,                0.89922,                0.99597,                0.99642,                 0.9949,                 0.9949,                 0.0999,                0.25667,                0.13326,             4.2483e-05,             4.2483e-05,             4.2483e-05
